,주택관리번호,공고번호,모델번호,주택형,공급세대수,순위,거주코드,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점
236,2020000057,2020000057,1,074.9900A,10,1,1,해당지역,16,1.6,16.0,45.0,29.0
237,2020000057,2020000057,1,074.9900A,10,1,2,기타지역,1,,,,
238,2020000057,2020000057,1,074.9900A,10,2,1,해당지역,0,,26.0,26.0,26.0
239,2020000057,2020000057,1,074.9900A,10,2,2,기타지역,0,,,,
240,2020000057,2020000057,2,074.9900B,33,1,1,해당지역,67,2.03,24.0,46.0,29.0
241,2020000057,2020000057,2,074.9900B,33,1,2,기타지역,11,,,,
242,2020000057,2020000057,2,074.9900B,33,2,1,해당지역,0,,0.0,0.0,0.0
243,2020000057,2020000057,2,074.9900B,33,2,2,기타지역,0,,,,
244,2020000057,2020000057,3,074.9900C,1,1,1,해당지역,3,3.0,24.0,24.0,24.0
245,2020000057,2020000057,3,074.9900C,1,1,2,기타지역,1,,,,
246,2020000057,2020000057,3,074.9900C,1,2,1,해당지역,0,,0.0,0.0,0.0
247,2020000057,2020000057,3,074.9900C,1,2,2,기타지역,0,,,,
248,2020000057,2020000057,4,084.9900A,4,1,1,해당지역,40,10.0,41.0,52.0,47.0
249,2020000057,2020000057,4,084.9900A,4,1,2,기타지역,4,,,,
250,2020000057,2020000057,4,084.9900A,4,2,1,해당지역,0,,0.0,0.0,0.0
251,2020000057,2020000057,4,084.9900A,4,2,2,기타지역,0,,,,
252,2020000057,2020000057,5,084.9900B,36,1,1,해당지역,295,8.19,32.0,45.0,38.0
253,2020000057,2020000057,5,084.9900B,36,1,2,기타지역,35,,,,
254,2020000057,2020000057,5,084.9900B,36,2,1,해당지역,0,,0.0,0.0,0.0
255,2020000057,2020000057,5,084.9900B,36,2,2,기타지역,0,,,,
256,2020000060,2020000060,1,101.9311A,217,1,1,해당지역,2904,44.68,56.0,68.0,60.0
257,2020000060,2020000060,1,101.9311A,217,1,2,기타지역,14269,287.09,69.0,74.0,71.0
258,2020000060,2020000060,1,101.9311A,217,1,3,기타경기,14228,396.91,,,
259,2020000060,2020000060,1,101.9311A,217,2,1,해당지역,0,,,,
260,2020000060,2020000060,1,101.9311A,217,2,2,기타지역,0,,,,
261,2020000060,2020000060,1,101.9311A,217,2,3,기타경기,0,,69.0,74.0,69.0
262,2020000060,2020000060,2,101.7047B,75,1,1,해당지역,537,23.35,54.0,63.0,56.0
263,2020000060,2020000060,2,101.7047B,75,1,2,기타지역,2742,158.76,67.0,69.0,68.0
264,2020000060,2020000060,2,101.7047B,75,1,3,기타경기,2633,209.8,,,
265,2020000060,2020000060,2,101.7047B,75,2,1,해당지역,0,,,,
266,2020000060,2020000060,2,101.7047B,75,2,2,기타지역,0,,,,
267,2020000060,2020000060,2,101.7047B,75,2,3,기타경기,0,,65.0,74.0,67.0
268,2020000060,2020000060,3,101.7512C,40,1,1,해당지역,236,19.67,51.0,61.0,54.0
269,2020000060,2020000060,3,101.7512C,40,1,2,기타지역,1323,138.2,66.0,68.0,67.0
270,2020000060,2020000060,3,101.7512C,40,1,3,기타경기,1225,181.13,,,
271,2020000060,2020000060,3,101.7512C,40,2,1,해당지역,0,,,,
272,2020000060,2020000060,3,101.7512C,40,2,2,기타지역,0,,,,
273,2020000060,2020000060,3,101.7512C,40,2,3,기타경기,0,,64.0,66.0,65.0
274,2020000060,2020000060,4,130.5433 ,76,1,1,해당지역,379,16.48,47.0,64.0,51.0
275,2020000060,2020000060,4,130.5433 ,76,1,2,기타지역,2077,102.97,64.0,69.0,66.0
276,2020000060,2020000060,4,130.5433 ,76,1,3,기타경기,1495,123.4,,,
277,2020000060,2020000060,4,130.5433 ,76,2,1,해당지역,0,,,,
278,2020000060,2020000060,4,130.5433 ,76,2,2,기타지역,0,,,,
279,2020000060,2020000060,4,130.5433 ,76,2,3,기타경기,0,,61.0,79.0,64.0
280,2020000060,2020000060,5,145.8703T,8,1,1,해당지역,44,22.0,69.0,69.0,69.0
281,2020000060,2020000060,5,145.8703T,8,1,2,기타지역,116,71.75,69.0,69.0,69.0
282,2020000060,2020000060,5,145.8703T,8,1,3,기타경기,131,86.5,,,
283,2020000060,2020000060,5,145.8703T,8,2,1,해당지역,0,,,,
284,2020000060,2020000060,5,145.8703T,8,2,2,기타지역,0,,,,
285,2020000060,2020000060,5,145.8703T,8,2,3,기타경기,0,,69.0,69.0,69.0
286,2020000060,2020000060,6,172.5351P,2,1,1,해당지역,4,4.0,45.0,45.0,45.0
287,2020000060,2020000060,6,172.5351P,2,1,2,기타지역,14,,64.0,64.0,64.0
288,2020000060,2020000060,6,172.5351P,2,1,3,기타경기,25,28.0,,,
289,2020000060,2020000060,6,172.5351P,2,2,1,해당지역,0,,,,
290,2020000060,2020000060,6,172.5351P,2,2,2,기타지역,0,,,,
291,2020000060,2020000060,6,172.5351P,2,2,3,기타경기,0,,0.0,0.0,0.0
292,2020000060,2020000060,7,236.9647T,8,1,1,해당지역,8,4.0,21.0,21.0,21.0
293,2020000060,2020000060,7,236.9647T,8,1,2,기타지역,33,15.5,46.0,46.0,46.0
294,2020000060,2020000060,7,236.9647T,8,1,3,기타경기,25,15.5,,,
295,2020000060,2020000060,7,236.9647T,8,2,1,해당지역,0,,,,
296,2020000060,2020000060,7,236.9647T,8,2,2,기타지역,0,,,,
297,2020000060,2020000060,7,236.9647T,8,2,3,기타경기,0,,56.0,59.0,58.0
298,2020000076,2020000076,1,059.8882 ,51,1,1,해당지역,34,17.0,21.0,57.0,34.0
299,2020000076,2020000076,1,059.8882 ,51,1,2,기타지역,2,15.0,,,
300,2020000076,2020000076,1,059.8882 ,51,2,1,해당지역,5,10.0,16.0,24.0,20.0
301,2020000076,2020000076,1,059.8882 ,51,2,2,기타지역,1,9.0,,,
302,2020000076,2020000076,2,078.9617 ,21,1,1,해당지역,19,2.0,24.0,43.0,31.0
303,2020000076,2020000076,2,078.9617 ,21,1,2,기타지역,0,2.0,,,
304,2020000076,2020000076,2,078.9617 ,21,2,1,해당지역,4,2.0,0.0,0.0,0.0
305,2020000076,2020000076,2,078.9617 ,21,2,2,기타지역,0,,,,
306,2020000076,2020000076,3,084.9196 ,100,1,1,해당지역,56,44.0,19.0,63.0,33.0
307,2020000076,2020000076,3,084.9196 ,100,1,2,기타지역,1,43.0,,,
308,2020000076,2020000076,3,084.9196 ,100,2,1,해당지역,9,34.0,69.0,69.0,69.0
309,2020000076,2020000076,3,084.9196 ,100,2,2,기타지역,1,33.0,,,
310,2020000076,2020000076,4,084.9757 ,30,1,1,해당지역,5,25.0,0.0,0.0,0.0
